sales_id,active_wallets,cumulative_sales,date,primary_sales_cumulative,sales_count
357,78422,48113548.52,NULL,887088,1342258
358,78554,48159311.81,NULL,888644,1344184
359,78636,48209826.3,NULL,893309,1349437
360,78674,48238294.02,NULL,895287,1351793
361,78753,48294965.27,NULL,897291,1354228
362,78825,48389995.66,NULL,899446,1356983
363,78985,48481896.33,NULL,901598,1359747
364,79057,48526324.15,NULL,902956,1361722
365,79278,48589762.88,NULL,905454,1364811
366,79430,48647925.94,NULL,909819,1370048
367,79542,48693978.28,NULL,912153,1373076
368,79615,48746630.21,NULL,914598,1376119
369,79734,48790677.44,NULL,916558,1378693
370,79806,48829374.18,NULL,918285,1381017
371,79861,48864600.86,NULL,920124,1383445
372,79920,48904526.83,NULL,922181,1386078
373,79985,48962971.71,NULL,924757,1389376
374,80041,48996056.49,NULL,926823,1391798
375,80123,49014444.34,NULL,927895,1393131
376,80161,49031680.8,NULL,928468,1393830
377,80198,49060711.56,NULL,928929,1394455
378,80248,49164174.19,NULL,929538,1395210
379,80337,49196814.31,NULL,930241,1396218
380,80384,49219183.28,NULL,931733,1397934
381,80448,49235862.46,NULL,932861,1399200
382,80511,49255536.61,NULL,934308,1400985
383,80570,49289919.05,NULL,936718,1403782
384,80629,49321785.78,NULL,938389,1405829
385,80697,49361863.49,NULL,940181,1408250
386,80760,49404804.19,NULL,942656,1411238
387,80869,49450674.52,NULL,945996,1415058
388,80891,49469360.25,NULL,947376,1416674
389,80993,49501242.23,NULL,948532,1418158
390,81018,49554757.78,NULL,950270,1420343
391,81103,49596095.44,NULL,951687,1422267
392,81187,49645130.19,NULL,953053,1424149
393,81254,49681412.24,NULL,954535,1426452
394,81368,49709860.21,NULL,955760,1428362
395,81479,49740413.23,NULL,957546,1430621
396,81562,49792800.19,NULL,959258,1432913
397,81719,49837740.95,NULL,960960,1435461
398,81819,49890441.26,NULL,962297,1437382
399,81947,49932226.62,NULL,964291,1439883
400,81965,49975458.58,NULL,967079,1443320
401,82098,50391373,NULL,970559,1447472
402,82165,51288927.14,NULL,973140,1450619
403,82242,51319966.18,NULL,974832,1452867
404,82284,51493998.7,NULL,976202,1454729
405,82476,51588237.34,NULL,977733,1456803
406,82618,51622536.12,NULL,979808,1459364
407,82742,51855533.93,NULL,981521,1461733
408,82858,51902035.76,NULL,982718,1463510
409,82969,51955942.11,NULL,984061,1465523
410,83144,52013885.26,NULL,985203,1467370
411,83238,52058341.66,NULL,986190,1468991
412,83337,52111376.74,NULL,987121,1470412
413,83350,52145793.85,NULL,988307,1471896
414,83397,52179146.27,NULL,989380,1473305
415,83458,52200526.77,NULL,990444,1474796
416,83472,52221264.28,NULL,991731,1476667
417,83518,52243346.07,NULL,993256,1478828
418,83582,52272665.12,NULL,994908,1481079
419,83741,52347431.21,NULL,996912,1483787
420,83893,52408136.43,NULL,999300,1486801
421,84068,52457071.92,NULL,1002199,1490457
422,84174,52514431.46,NULL,1006446,1495526
423,84306,52606380.54,NULL,1011445,1502048
424,84381,52681953.36,NULL,1017362,1509124
425,84443,52730941.64,NULL,1019967,1512738
426,84586,52813208.57,NULL,1022615,1516321
427,84612,52864378.19,NULL,1024551,1518857
428,84763,52964607.79,NULL,1027745,1522986
429,84883,53058341.61,NULL,1031951,1528251
